"name","lng","lat"
"1400 N Main St,Santa Ana,Orange","-117.867660110511,","33.756785435335"
"1401 S Grand Ave,Los Angeles,Los Angeles","-118.265476981911,","34.037170904257"
"1405 California Ave,Dos Palos,Merced","-120.629006351847,","36.986656990761"
"1411 E 31st St,Oakland,Alameda","-122.233171735208,","37.799540339877"
"1418 E Main St,Santa Maria,Santa Barbara","-120.414622157324,","34.952834285"
"1424 Crusado Ln,Los Angeles,Los Angeles","-118.195333412132,","34.057694229976"
"1424 Madera Blvd,Simi Valley,Ventura","-118.796147121584,","34.264850475535"
"1430 Freedom Blvd,Watsonville,Santa Cruz","-121.764581882759,","36.92651732231"
"145 N Clark St,Fresno,Fresno","-119.786071809727,","36.744088482132"
"150 Tejas Pl,Nipomo,San Luis Obispo","-120.498939101128,","35.026659280549"
"1510 Florida Ave,Modesto,Stanislaus","-120.996146427364,","37.665747606278"
"1515 Fruitvale Ave,Oakland,Alameda","-122.225297108485,","37.778978345687"
"1540 Florida Ave,Modesto,Stanislaus","-120.996151588474,","37.666266303832"
"1551 Bishop St,San Luis Obispo,San Luis Obispo","-120.646385859231,","35.274139837347"
"160 Capp St,San Francisco,San Francisco","-122.418677419205,","37.764122453037"
"1625 E Fourth St,Los Angeles,Los Angeles","-118.222543368893,","34.042984249032"
"1625 Fourth St,Los Angeles,Los Angeles","-118.267846817864,","34.059581209449"
"16300 Cloverdale Rd,Happy Valley,Shasta","-122.454003233999,","40.4746437580314"
"16453 Bear Valley Rd,Hesperia,San Bernardino","-117.304642933208,","34.470790322792"
"1646 S Olive St,Los Angeles,Los Angeles","-118.265602695546,","34.034818993375"
"1649 W Washington Blvd,Los Angeles,Los Angeles","-118.293327404118,","34.040051052438"
"165 S 1st St,El Cajon,San Diego","-116.944520471689,","32.794080513351"
"16650 Hwy 76,Pauma Valley,San Diego","-116.969288314057,","33.293593358178"
"1695 N Sunrise Way,Palm Springs,Riverside","-116.528253651486,","33.844749478709"
"1704 Colorado Blvd,Los Angeles,Los Angeles","-118.203886066602,","34.139270748191"
"17050 S Grafton St,Esparto,Yolo","-122.017303755104,","38.693087714741"
"1717 Las Vegas St,Modesto,Stanislaus","-121.002783767922,","37.606251079946"
"1721 E Hammer Ln,Stockton,San Joaquin","-121.291480507494,","38.020995256856"
"1735 Mission St,San Francisco,San Francisco","-122.419897668377,","37.769598228432"
"1776 E Century Blvd,Los Angeles,Los Angeles","-118.307578149081,","33.945402211009"
"1800 N Lake Ave,Pasadena,Los Angeles","-118.131650561242,","34.1769434701152"
"1801 E March Ln,Stockton,San Joaquin","-121.288601793623,","38.002646006437"
"1809 National Ave,San Diego,San Diego","-117.146601806606,","32.701649170154"
"1814 W Lincoln Ave,Anaheim,Orange","-117.947236064806,","33.832368818104"
"18144 Seco St,Jamestown,Tuolumne","-120.421914184745,","37.952536167854"
"1820 W Lincoln Ave,Anaheim,Los Angeles","-117.94739554957,","33.832369858857"
"1855 N Fair Oaks Ave,Pasadena,Los Angeles","-118.150822638791,","34.177324968757"
"1860 Howe Ave,Sacramento,Sacramento","-121.415216307724,","38.599286806099"
"1900 E Slauson Ave,Huntington Park,Los Angeles","-118.237441216646,","33.989166854923"
"1920 Marengo St,Los Angeles,Los Angeles","-118.209975350717,","34.057683824488"
"1921 Maple Ave,Los Angeles,Los Angeles","-118.26177367474,","34.029373652178"
"1970 University Ave,Riverside,Riverside","-117.354418489906,","33.975594806852"
"1993 Mckee Rd,San Jose,Santa Clara","-121.856140714393,","37.361260691929"
"200 C St,Patterson,Stanislaus","-121.125694945336,","37.467411830123"
"200 Cottage Ave,Manteca,San Joaquin","-121.198169575876,","37.799523257811"
"200 S Wells Rd,Ventura,Ventura","-119.160107036621,","34.293756683428"
"2001 Dwight Way,Berkeley,Alameda","-122.2697738216,","37.863727074674"
"201 E Lakeview Ave,Woodlake,Tulare","-119.096302430689,","36.4171957902778"
"2015 E Mariposa Rd,Stockton,San Joaquin","-121.246497968258,","37.940022080003"
"2021 Main St,Oakley,Contra Costa","-121.73244203325,","38.002922321429"
"2023 Vale Rd,San Pablo,Alameda","-122.338369094918,","37.953326412465"
"2031 6th St,Berkeley,Alameda","-122.297182627494,","37.866478168538"
"20326 Main St,Stratford,Kings","-119.823060033262,","36.18965531398"
"2044 Fair St,Stockton,San Joaquin","-121.264674902538,","37.933534291715"
"205 S St,Fort Bragg,Mendocino","-123.803081335114,","39.4304012106334"
"2050 S Blosser Rd,Santa Maria,Santa Barbara","-120.453869998011,","34.924010169401"
"210 Hospital Dr,Vallejo,Solano","-122.239800588228,","38.131126996401"
"2100 Monument Blvd,Pleasant Hill,Contra Costa","-122.053263398156,","37.945437185054"
"2101 Courage Dr,Fairfield,Solano","-122.066414507975,","38.237348964854"
"2101 Tenaya Dr,Modesto,Stanislaus","-120.95902817652,","37.632445257854"
"2105 Beverly Blvd,Los Angeles,Los Angeles","-118.270368211143,","34.066771235401"
"21138 Paso Robles Hwy,Lost Hills,Kern","-119.695243816796,","35.6165478528937"
"217 Highland Ave,National City,San Diego","-117.10060679298,","32.683163081371"
"219 N Sanborn Rd,Salinas,Monterey","-121.627106546482,","36.676599485857"
"220 Hospital Dr,Vallejo,Solano","-122.23972829276,","38.131127522181"
"2201 Courage Dr,Fairfield,Solano","-122.069984503206,","38.2364874667983"
"221 Ventura Blvd,Oxnard,Ventura","-119.171429128421,","34.231459786408"
"2216 Fair St,Chico,Butte","-121.817934034192,","39.718816187586"
"2219 E 1st St,Los Angeles,Los Angeles","-118.212022394859,","34.044782111729"
"223 Bassett St,King City,Monterey","-121.124566795868,","36.212512246398"
"2240 E Gonzales Rd,Oxnard,Ventura","-119.143176589463,","34.21870381619"
"2240 Gladstone Dr,Pittsburg,Contra Costa","-121.866837561158,","38.006229456451"
"2321 W Whittier Blvd,Montebello,Los Angeles","-118.126105337796,","34.013726369119"
"2325 Commercial St,San Diego,San Diego","-117.142997332353,","32.705184319422"
"23763 Valencia Blvd,Valencia,Los Angeles","-118.549693114848,","34.416009181414"
"2380 Montpelier Dr,San Jose,Santa Clara","-121.847598365769,","37.365109242938"
"23832 Rockfield Blvd,Lake Forest,Orange","-117.716456957301,","33.628597463881"
"240 Shotwell St,San Francisco,San Francisco","-122.41639435904,","37.764573474447"
"2400 Moorpark Ave,San Jose,Santa Clara","-121.936146929237,","37.316050825206"
"2400 S C St,Oxnard,Ventura","-119.181251178443,","34.177838255266"
"2401 W Turner Rd,Lodi,San Joaquin","-121.343073100689,","38.145730063909"
"243 Georgia St,Vallejo,Solano","-122.258932015034,","38.101098004787"
"250 E 18th St,Oakland,Alameda","-122.252665902512,","37.800052534104"
"2500 Alhambra Ave,Martinez,Contra Costa","-122.130907081628,","38.006420935193"
"2505 E Divisadero St,Fresno,Fresno","-119.78125709179,","36.74336776881"
"251 Landis Ave,Chula Vista,San Diego","-117.081505853423,","32.642660683382"
"2515 Main St,Cambria,San Luis Obispo","-121.079588063515,","35.56589951004"
"2600 MacDonald Ave,Richmond,Contra Costa","-122.343672219255,","37.93512487933"
"263 S West St,Tulare,Tulare","-119.366828043301,","36.203182522101"
"2640 E Lafayette St,Stockton,San Joaquin","-121.251238379349,","37.958533244844"
"26926-B Cherry Hills Blvd,Menifee,Riverside","-117.190083567457,","33.710804770884"
"2720 S Bristol St,Santa Ana,Orange","-117.885484665526,","33.710929016065"
"2760 3rd St,CERES,Stanislaus","-120.954461149069,","37.592722829256"
"278 Main St,Hamilton City,Glenn","-122.011717727504,","39.741271577124"
"2790 S Elm Ave,Fresno,Fresno","-119.791140245592,","36.7006761216051"
"2801 Santa Maria Way,Santa Maria,Santa Barbara","-120.434819655786,","34.9088934477872"
"2801 Silver St,Anderson,Shasta","-122.299538275137,","40.447056763937"
"286 Euclid Ave,San Diego,San Diego","-117.085069966194,","32.70791461071"
"2880 Story Rd,San Jose,Santa Clara","-121.822718446407,","37.353673837164"
"29-A Bishop Rd,Pajaro,Monterey","-121.74951997259,","36.901729478248"
"2950 International Blvd,Oakland,Alameda","-122.22853102767,","37.779074163089"
"29632 Hwy 299E,Round Mountain,Shasta","-121.939468853708,","40.80279862551"
"301 Howard Rd,Westley,Stanislaus","-121.197917290739,","37.544920610904"
"305 E Center St,Visalia,Tulare","-119.338093328271,","36.206239158898"
"3052 Willow Pass Rd,Concord,Contra Costa","-122.020900749607,","37.980852514729"
"3075 Mission Blvd,San Diego,San Diego","-117.250829180104,","32.769330899767"
"30979 Rd 72,Visalia,Tulare","-119.412599744194,","36.352238500425"
"311 Winston St,Los Angeles,Los Angeles","-118.245028495132,","34.045550289776"
"31180 Rd 67,Goshen,Tulare","-119.411658209416,","36.35596105556"
"3124 International Blvd,Oakland,Alameda","-122.226373422503,","37.777980704967"
"3160 E Del Mar Blvd,Pasadena,Los Angeles","-118.08288422068,","34.142169683352"
"3177 Oceanview Blvd,San Diego,San Diego","-117.12571090838,","32.701131943384"
"3200 Senter Rd,San Jose,Santa Clara","-121.833110728963,","37.293411886786"
"325 Posada Ln,Templeton,San Luis Obispo","-120.721354719819,","35.553168558237"
"3260 Kerner Blvd,San Rafael,Marin","-122.501827449719,","37.960595211945"
"329 W 8th St,Hanford,Kings","-119.64959650263,","36.32706241311"
"33025 Rd 159, Ivanhoe, CA 93235","-119.218054117224,","36.389084039141"
"333 Laws Ave,Ukiah,Mendocino","-123.211173546384,","39.128303359092"
"345 Spring St,Paso Robles,San Luis Obispo","-120.690857570217,","35.618831193341"
"3451 E 12th St,Oakland,Alameda","-122.224003130327,","37.775958397065"
"3455 Percy St,Los Angeles,Los Angeles","-118.19863543689,","34.028165169787"
"3505 Lone Tree Way,Antioch,Contra Costa","-121.807233137072,","37.988211512379"
"3544 30th St,San Diego,San Diego","-117.130142221868,","32.743125938609"
"355 Central Ave,Fillmore,Ventura","-118.91370878644,","34.399962381423"
"3554 W Mount Whitney Ave,Riverdale,Fresno","-119.862098626204,","36.430865633722"
"35800 Hwy 190,Springville,Tulare","-118.814774828532,","36.133167893599"
"365 Tuolumne St,Vallejo,Solano","-122.238302357047,","38.103320337852"
"3690 Mission Blvd,San Diego,San Diego","-117.252557494409,","32.782308007037"
"370 N Montgomery St,San Jose,Santa Clara","-121.904635696346,","37.336623057531"
"3801 Las Posas Rd,Camarillo,Ventura","-119.019685420898,","34.241306269682"
"3820 Martin Luther King Jr Blvd,Lynwood,Los Angeles","-118.340121355624,","34.013724243207"
"3945 Whittier Blvd,Los Angeles,Los Angeles","-118.188224693834,","34.023985439689"
"401 E School Ave,Visalia,Tulare","-119.288922308866,","36.332829673305"
"401 Lesher Dr,Merced,Merced","-120.504072944986,","37.293772720436"
"401 Trinity Ave,Chowchilla,Madera","-120.260873516753,","37.120593943908"
"4010 E Chapman Ave,Orange,Orange","-117.810235344091,","33.787703483842"
"4050 Beyer Blvd,San Ysidro,San Diego","-117.04682889695,","32.558301584436"
"4060 Fairmount Ave,San Diego,San Diego","-117.100937575998,","32.750668227242"
"4094 4th Ave,San Diego,San Diego","-117.161705160152,","32.751745733306"
"4150 Patterson Rd,Riverbank,Merced","-120.919844394736,","37.732577013068"
"416 Spring St,Paso Robles,San Luis Obispo","-120.69059920802,","35.618565343926"
"41651 Sierra Dr,Three Rivers,Tulare","-118.905253298484,","36.438336998577"
"4171 Fairmount Ave,San Diego,San Diego","-117.100771699852,","32.752651763345"
"4177 Avenue 368, Kingsburg, CA 93631","-119.481402411476,","36.459020400254"
"41840 Enterprise Cir,Temecula,Riverside","-117.169871705055,","33.517586334041"
"420 S Glendora Ave,West Covina,Los Angeles","-117.925558081711,","34.067130192763"
"423 S San Joaquin St,Stockton,San Joaquin","-121.286118537609,","37.948969899404"
"425 N Date St,Escondido,San Diego","-117.071433050658,","33.128780975962"
"425 W Central Ave,Lompoc,Santa Barbara","-120.458837485151,","34.660899894328"
"4279 Tierra Rejada Rd,Moorpark,Ventura","-118.899879062652,","34.2681181241063"
"430 S Blosser Rd,Santa Maria,Santa Barbara","-120.453664168544,","34.947316256897"
"4326 Golden Center Dr,Placerville,El Dorado","-120.828883263122,","38.706724228304"
"436-435 Susan Dr,Doyle,Lassen","-120.121084480229,","40.042326507119"
"4361 Railroad Ave,Pleasanton,Alameda","-121.873700276357,","37.661578171861"
"440 Airport Blvd,Salinas,Monterey","-121.616763228704,","36.665347359102"
"45 Hazel St,Willits,Mendocino","-123.35192533006,","39.399736076341"
"45 Nielson St,Watsonville,Santa Cruz","-121.79254841839,","36.928229656885"
"450 W Clara St,Oxnard,Ventura","-119.182219009342,","34.15112896511"
"452 S Main St,Los Angeles,Los Angeles","-118.247986592452,","34.047178387881"
"455 W Montana St,Pasadena,Los Angeles","-118.160589074002,","34.180898878732"
"460 N Elm St,Escondido,San Diego","-117.072676877045,","33.128210910938"
"4641 Missouri Flat Rd,Placerville,El Dorado","-120.823698399655,","38.69570400365"
"4650 W Sunset Blvd,Los Angeles,Los Angeles","-118.29068926834,","34.098098260622"
"4725 Market St,San Diego,San Diego","-117.092640057001,","32.710988189169"
"4874 Polk Ave,San Diego,San Diego","-117.089742278653,","32.751385526963"
"500 E Main St,Santa Paula,Ventura","-119.068818258283,","34.351107709608"
"501 N Bridge St,Visalia,Tulare","-119.289074392711,","36.33385258187"
"5059 York Blvd,Los Angeles,Los Angeles","-118.205622764396,","34.121292296211"
"517 S Madera Ave,Kerman,Fresno","-120.060299218825,","36.726660238806"
"522 S San Pedro St,Los Angeles,Los Angeles","-118.244140679193,","34.043702198143"
"5220 Claremont Ave,Oakland,Alameda","-122.261180797627,","37.838638271302"
"525 E Main St,El Cajon,San Diego","-116.955733414853,","32.794866923531"
"5275 Claremont Ave,Oakland,Alameda","-122.260984962705,","37.839117363179"
"5335 Lakeshore Blvd,Lakeport,Lake","-122.903209728457,","39.105753809472"
"535 S Second Ave,Covina,Los Angeles","-117.887950509549,","34.080161882472"
"5400 Telegraph Ave,Alameda,Alameda","-118.899879062652,","34.2681181241063"
"5425 Pomona Blvd,Los Angeles,Los Angeles","-118.147344493012,","34.033492934063"
"5427 E Whittier Blvd,Los Angeles,Los Angeles","-118.153426701165,","34.019639442411"
"5454 El Cajon Blvd,San Diego,San Diego","-117.077704021458,","32.758126574746"
"550 E Washington Blvd,Crescent City,Del Norte","-124.198168703563,","41.772765430848"
"55497 Van Buren St,Thermal,Riverside","-116.198822593872,","33.644676305484"
"600 Nut Tree Rd,Vacaville,Solano","-121.949618713866,","38.361389799367"
"601 S San Pedro St,Los Angeles,Los Angeles","-118.24533617428,","34.042241473448"
"612 Spring Rd,Moorpark,Ventura","-118.874588100772,","34.281202949576"
"616 16th St,Oakland,Alameda","-122.274354711468,","37.807284497144"
"6336 Passons Blvd,Pico Rovera,Los Angeles","-118.08579615125,","33.98578787761"
"637 Merced St,Newman,Stanislaus","-121.016926598076,","37.314651554187"
"65 Third St,Point Reyes Station,Marin","-122.806724915017,","38.067824755522"
"650 Meta St,Oxnard,Ventura","-119.17590925326,","34.195666867305"
"6550 Front St,Forestville,Sonoma","-122.89119660957,","38.473569005571"
"678 3rd Ave,Chula Vista,San Diego","-117.074860507663,","32.628217230421"
"680 Fairplex Dr,Pomona,Los Angeles","-117.787481727175,","34.062459981606"
"6901 S Atlantic Ave,Bell Gardens,Los Angeles","-118.187741140771,","33.973730602332"
"69175 Ramon Rd,Cathedral City,Riverside","-116.456660906124,","33.815916775553"
"701 E Cesar E Chavez Ave,Los Angeles,Los Angeles","-118.229662434318,","34.05597794739"
"701 E Channel St,Stockton,San Joaquin","-121.28244130949,","37.956050832656"
"701 W Cesar E Chavez Ave,Los Angeles,Los Angeles","-118.243885346195,","34.060702162476"
"7107 Remmet Ave,Canoga Park,Los Angeles","-118.600342914937,","34.19936461681"
"721 Calaveras St,Lodi,San Joaquin","-121.265729181713,","38.142855181234"
"721 E 5th St,Los Angeles,Los Angeles","-118.241819787332,","34.043003906352"
"7210 Murray Dr,Stockton,San Joaquin","-121.300796703613,","38.015578397658"
"727 Wilson St,Los Angeles,Los Angeles","-118.233970020338,","34.034361708412"
"728 E Valley Parkway,Escondido,San Diego","-117.073552266485,","33.127520859181"
"730 Central Ave,Tracy,San Joaquin","-121.547362184526,","37.769156250342"
"730 N Farmersville Blvd,Farmersville,Tulare","-119.206885505341,","36.301567428208"
"7512 Morro Rd,Atascadero,San Luis Obispo","-120.66743412846,","35.477468848493"
"77 Casa St,San Luis Obispo,San Luis Obispo","-120.665192764135,","35.29320129067"
"7843 Lankershim Blvd,North Hollywood,Los Angeles","-118.387848059998,","34.212857891079"
"7967 Broadway Ave,Lemon Grove,San Diego","-117.027188994849,","32.74271024337"
"797 W Childs Ave,Merced,Merced","-120.496895950991,","37.288258698218"
"7970 Lander Ave,Hilmar,Merced","-120.850058318688,","37.403597737346"
"799 Front St,Soledad,Monterey","-121.326194629795,","36.424974953933"
"801 S Chevy Chase Dr,Glendale,Los Angeles","-118.239649100696,","34.137090485903"
"8041 Newman Ave,Huntington Beach,Orange","-117.988629090674,","33.704854464193"
"808 Oak Ave,Greenfield,Monterey","-121.242582895283,","36.321347593226"
"815 Dr Martin Luther King Jr Blvd,Bakersfield,Kern","-118.98516881531,","35.365067973099"
"818 Webster St,Oakland,Alameda","-122.271238461751,","37.799392631327"
"821 Texas Ave,Los Banos,Merced","-120.860514728783,","37.064420795487"
"823 Gateway Center Way,San Diego,San Diego","-117.113935427524,","32.714955633673"
"835 Webster St,Oakland,Alameda","-122.271310648012,","37.799538416448"
"8465 Old Redwood Hwy,Windsor,Sonoma","-122.801495722728,","38.543908871183"
"847 W Childs Ave,Merced,Merced","-120.497056385979,","37.288258255994"
"8627 Atlantic Ave,South Gate,Los Angeles","-118.183735604126,","33.954461404442"
"8788 Jamacha Rd,Spring Valley,San Diego","-117.009805863782,","32.714845527253"
"88 Mesa Rd,Bolinas,Marin","-122.699109822527,","37.909829635881"
"8856 Arlington Ave,Riverside,Riverside","-117.467297663063,","33.946461816494"
"8902 Woodman Ave,Arleta,Los Angeles","-118.437381050726,","34.231365754436"
"9 Crestview Dr,Watsonville,Santa Cruz","-121.764318431759,","36.926673367905"
"900 Fallon St,Oakland,Alameda","-122.263773684921,","37.797195043854"
"903 E Devonshire Ave,Hemet,Riverside","-116.962222645475,","33.751173091721"
"911 Washington St,Calistoga,Napa","-122.577066517571,","38.57804387709"
"9140 Van Nuys Blvd,Panorama City,Los Angeles","-118.450177507916,","34.236176949984"
"935 Market St,Yuba City,Sutter","-121.614415362302,","39.144866738539"
"9416 Rd 238, Terra Bella, CA 93270","-119.039959419037,","35.960519012316"
"9436 E Slauson Ave,Pico Rivera,Los Angeles","-118.096877042234,","33.968377302046"
"950 Circle Dr,Salinas,Monterey","-121.626232969408,","36.679436931946"
"950 S Euclid Ave,San Diego,San Diego","-117.085175971449,","32.696326773932"
"9933 MacArthur Blvd,Oakland,Alameda","-122.156742443935,","37.746482609226"
"995 Potrero Ave,San Francisco,San Francisco","-122.40663821554,","37.756926145551"
